             num,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0,0.9868062,0.960598968,0.92173638,0.870748939,0.808331762,0.735334343,0.652748048,0.561691548,0.463394387,0.359178962,0.250441165,0.138629993,0.02522644,-0.088278027,-0.20040306,-0.309700781,-0.414776568,-0.514308947,-0.607068318,-0.691934215,-0.76791085,-0.834140715,-0.889916033,-0.934687905,-0.968073012,-0.989857788,-1,-0.998627741,-0.98603584,-0.962679779,-0.9291672,-0.886247162,-0.834797313,-0.775809195,-0.710371899,-0.639654359,-0.564886538,-0.487339822,-0.408306922,-0.329081599,-0.250938529,-0.175113625,-0.102785112,-0.035055652,0.027064204,0.082671001,0.130981549,0.171344104,0.203247385,0.226327299,0.24037127,0.245320143,0.241267611,0.228457221,0.207276991,0.178251756,0.142033367,0.099388915,0.051187168,-0.001616538,-0.057996722,-0.116875205,-0.177139324,-0.237660587,-0.297313495,-0.354994205,-0.409638749,-0.460240511,-0.505866686,-0.545673453,-0.578919636,-0.604978616,-0.62334833,-0.633659185,-0.635679777,-0.62932032,-0.614633743,-0.591814441,-0.56119471,-0.523238925,-0.478535565,-0.427787219,-0.371798745,-0.311463766,-0.247749742,-0.181681857,-0.114325975,-0.046770971,0.019889304,0.084574109,0.146233661,0.203866457,0.256535786,0.303385158,0.343652405,0.376682227,0.401936965,0.419005448,0.427609747
1,-0.994956291,-0.984890621,-0.969846586,-0.949889828,-0.925108315,-0.89561269,-0.861536675,-0.82303749,-0.780296279,-0.733518493,-0.682934209,-0.62879835,-0.571390755,-0.511016088,-0.448003531,-0.382706233,-0.315500491,-0.246784634,-0.176977579,-0.106517053,-0.035857463,0.034532589,0.104173154,0.172576125,0.239248763,0.303697534,0.365432237,0.423970368,0.478841697,0.529593003,0.575792912,0.617036769,0.65295151,0.683200433,0.707487819,0.725563338,0.737226149,0.742328647,0.740779775,0.732547846,0.717662812,0.696217927,0.668370752,0.634343471,0.594422482,0.548957231,0.498358293,0.443094683,0.383690409,0.320720285,0.254805036,0.186605721,0.116817548,0.04616311,-0.024614865,-0.094761181,-0.163516179,-0.23012398,-0.293840876,-0.353943759,-0.409738491,-0.460568116,-0.505820787,-0.544937325,-0.577418298,-0.602830527,-0.620812921,-0.631081566,-0.63343398,-0.627752487,-0.614006621,-0.592254557,-0.562643498,-0.525409024,-0.480873384,-0.429442747,-0.37160342,-0.307917083,-0.239015077,-0.16559181,-0.088397352,-0.008229302,0.074075977,0.157652656,0.241615158,0.325068181,0.407116903,0.48687725,0.563486087,0.636111225,0.703961105,0.766294046,0.822426933,0.871743248,0.91370033,0.94783578,0.973772931,0.991225303,1
2,0.480323865,0.46528656,0.442995277,0.413762917,0.377998921,0.336202779,0.288956109,0.236913448,0.180791891,0.121359746,0.059424399,-0.004180431,-0.068607831,-0.133011009,-0.196556592,-0.258437665,-0.317886359,-0.374185776,-0.42668106,-0.474789432,-0.518009035,-0.555926428,-0.588222623,-0.614677563,-0.635172957,-0.64969344,-0.658326025,-0.661257866,-0.658772354,-0.651243622,-0.639129536,-0.622963293,-0.603343746,-0.580924642,-0.55640291,-0.53050622,-0.503979999,-0.477574116,-0.452029466,-0.428064658,-0.406363034,-0.387560231,-0.372232496,-0.360885941,-0.353946928,-0.351753738,-0.354549673,-0.362477709,-0.375576796,-0.393779873,-0.416913644,-0.444700128,-0.476759971,-0.512617471,-0.551707256,-0.593382513,-0.636924649,-0.681554237,-0.726443077,-0.770727205,-0.813520623,-0.85392956,-0.891067028,-0.924067452,-0.952101136,-0.974388346,-0.990212777,-0.998934185,-1,-0.992955698,-0.977453795,-0.953261288,-0.92026543,-0.878477731,-0.828036108,-0.769205154,-0.702374479,-0.628055165,-0.54687436,-0.45956808,-0.366972324,-0.270012625,-0.16969218,-0.067078731,0.036709605,0.140519361,0.243177371,0.343506819,0.440343452,0.532551707,0.619040522,0.698778588,0.770808814,0.834261799,0.888368089,0.932469056,0.966026223,0.988628897,1
3,0.994523954,0.983611554,0.967341788,0.945832157,0.919237504,0.88774848,0.851589661,0.811017333,0.76631698,0.717800499,0.665803169,0.610680424,0.552804454,0.492560673,0.430344105,0.366555718,0.301598752,0.235875079,0.169781639,0.103706981,0.038027966,-0.026893367,-0.090712704,-0.153106122,-0.213772492,-0.272435583,-0.328845865,-0.382781985,-0.434051923,-0.482493793,-0.527976326,-0.570399002,-0.609691867,-0.645815021,-0.67875781,-0.708537735,-0.73519909,-0.758811362,-0.779467421,-0.797281519,-0.81238713,-0.82493467,-0.835089119,-0.843027579,-0.8489368,-0.853010712,-0.855447972,-0.856449586,-0.856216603,-0.854947924,-0.852838238,-0.850076117,-0.846842275,-0.843308007,-0.839633831,-0.835968323,-0.832447166,-0.829192405,-0.82631191,-0.823899047,-0.822032542,-0.820776538,-0.820180826,-0.820281244,-0.821100223,-0.822647465,-0.824920738,-0.82790677,-0.831582215,-0.835914684,-0.840863813,-0.846382358,-0.852417287,-0.858910869,-0.865801727,-0.873025859,-0.880517596,-0.888210506,-0.896038219,-0.903935177,-0.911837293,-0.919682535,-0.927411412,-0.934967378,-0.942297151,-0.949350951,-0.956082666,-0.962449945,-0.968414237,-0.973940773,-0.978998511,-0.98356004,-0.987601467,-0.991102287,-0.994045244,-0.996416202,-0.998204017,-0.999400435,-1
4,-0.772831235,-0.762524513,-0.747121839,-0.726692305,-0.701328361,-0.671146069,-0.636285385,-0.596910449,-0.553209867,-0.505396945,-0.453709854,-0.398411699,-0.339790453,-0.278158729,-0.213853366,-0.147234792,-0.078686141,-0.008612107,0.06256249,0.134394448,0.206424223,0.278178304,0.349171885,0.418911864,0.486900122,0.552637091,0.615625565,0.675374738,0.731404423,0.783249409,0.830463917,0.872626099,0.909342518,0.940252568,0.965032752,0.983400784,0.995119421,1,0.99790559,0.988753725,0.972518651,0.949233054,0.918989206,0.881939519,0.838296455,0.788331781,0.732375161,0.670812068,0.604081033,0.532670232,0.457113453,0.377985452,0.295896758,0.211487964,0.125423572,0.038385449,-0.04893403,-0.135839077,-0.221637741,-0.305649221,-0.387211167,-0.465686863,-0.54047221,-0.611002422,-0.676758338,-0.737272274,-0.792133338,-0.84099212,-0.883564714,-0.919635989,-0.949062075,-0.971772026,-0.98776861,-0.99712824,-1,-0.996603808,-0.9872277,-0.972224281,-0.952006375,-0.927041922,-0.89784818,-0.864985306,-0.829049387,-0.790665011,-0.750477466,-0.709144664,-0.667328894,-0.625688506,-0.58486963,-0.545498041,-0.508171262,-0.473451025,-0.441856166,-0.413856063,-0.389864692,-0.370235377,-0.355256315,-0.345146916,-0.340055021
5,-0.991493726,-0.974558555,-0.949348423,-0.916092199,-0.875091267,-0.826716353,-0.771403627,-0.70965013,-0.642008576,-0.569081608,-0.491515543,-0.409993718,-0.325229488,-0.237958965,-0.148933587,-0.058912602,0.031344453,0.121085191,0.209571638,0.296087263,0.379943663,0.460486874,0.537103201,0.609224539,0.676333107,0.737965578,0.793716536,0.843241261,0.886257804,0.922548354,0.951959879,0.974404074,0.989856602,0.998355675,1,0.994946121,0.983405214,0.96563938,0.941957494,0.912710669,0.878287402,0.839108462,0.795621601,0.74829613,0.697617467,0.644081677,0.588190112,0.530444179,0.471340312,0.411365198,0.350991295,0.290672704,0.230841406,0.171903923,0.114238403,0.058192155,0.004079653,-0.047819001,-0.097259151,-0.1440322,-0.187965795,-0.228923575,-0.266804536,-0.301542026,-0.333102398,-0.361483373,-0.386712136,-0.408843216,-0.427956178,-0.444153183,-0.457556448,-0.468305643,-0.476555278,-0.482472096,-0.486232526,-0.488020208,-0.488023638,-0.486433933,-0.483442762,-0.479240428,-0.474014148,-0.46794651,-0.461214116,-0.453986432,-0.446424805,-0.438681673,-0.430899941,-0.423212506,-0.415741932,-0.408600242,-0.401888823,-0.395698411,-0.390109149,-0.385190694,-0.381002355,-0.377593244,-0.375002431,-0.373259083,-0.372382576
6,-0.99430849,-0.982977492,-0.96611052,-0.943861531,-0.916433362,-0.884075673,-0.847082421,-0.805788888,-0.760568293,-0.711828034,-0.660005593,-0.60556415,-0.548987953,-0.490777489,-0.43144452,-0.371507026,-0.311484101,-0.251890881,-0.193233527,-0.136004336,-0.080677021,-0.027702204,0.022496814,0.069527998,0.113034162,0.152696185,0.188235818,0.219418057,0.246053065,0.267997629,0.285156135,0.297481064,0.304973006,0.307680198,0.305697595,0.299165493,0.288267719,0.273229418,0.254314455,0.231822475,0.20608565,0.177465147,0.146347359,0.113139947,0.07826772,0.042168409,0.00528838,-0.031921692,-0.069011114,-0.105533416,-0.141050492,-0.175136594,-0.20738217,-0.237397477,-0.264815971,-0.289297426,-0.310530771,-0.328236614,-0.342169446,-0.352119504,-0.357914287,-0.359419721,-0.356540962,-0.349222852,-0.337450015,-0.321246614,-0.300675777,-0.275838693,-0.24687341,-0.213953343,-0.177285513,-0.137108537,-0.093690394,-0.047325989,0.001665458,0.052943178,0.106147745,0.160904071,0.21682447,0.273511787,0.330562538,0.387570067,0.444127677,0.499831718,0.55428462,0.607097838,0.657894701,0.706313145,0.752008307,0.794654982,0.833949907,0.869613891,0.901393739,0.929064005,0.952428532,0.971321787,0.985609984,0.995191989,1
7,-0.690761816,-0.69897546,-0.711047267,-0.72668382,-0.74550209,-0.767036287,-0.790746204,-0.816026917,-0.842219682,-0.868623834,-0.89450951,-0.919130965,-0.941740258,-0.961601089,-0.978002543,-0.99027251,-0.997790551,-1,-0.996419076,-0.986650827,-0.970391729,-0.947438775,-0.917694948,-0.88117295,-0.837997132,-0.788403567,-0.73273826,-0.671453499,-0.605102404,-0.534331741,-0.459873107,-0.382532619,-0.303179258,-0.222732049,-0.142146276,-0.062398948,0.015526264,0.090654369,0.162034436,0.228754781,0.289957686,0.344853441,0.392733468,0.4329823,0.46508824,0.488652495,0.50339665,0.509168335,0.505944991,0.493835659,0.473080747,0.444049764,0.407237044,0.363255507,0.312828547,0.25678015,0.196023392,0.131547479,0.064403522,-0.004310745,-0.073467069,-0.14192337,-0.208540759,-0.272200629,-0.331821555,-0.386375742,-0.434904769,-0.476534382,-0.51048811,-0.536099482,-0.552822662,-0.560241323,-0.558075624,-0.546187174,-0.524581891,-0.49341072,-0.452968175,-0.403688722,-0.346141063,-0.281020375,-0.209138641,-0.131413196,-0.048853658,0.037452562,0.126355947,0.216661548,0.30714637,0.396577226,0.483728788,0.567401563,0.646439519,0.719747104,0.786305398,0.845187143,0.895570449,0.93675094,0.968152177,0.989334192,1
8,0.996330374,0.989032935,0.978190607,0.963926056,0.946399639,0.925806744,0.902374542,0.876358215,0.848036718,0.817708158,0.785684858,0.752288194,0.717843292,0.682673682,0.647095989,0.611414758,0.575917513,0.540870111,0.506512497,0.473054919,0.440674674,0.409513445,0.379675277,0.351225224,0.324188705,0.298551572,0.2742609,0.251226488,0.22932305,0.208393061,0.188250215,0.168683442,0.149461415,0.130337475,0.111054896,0.091352399,0.070969822,0.049653855,0.027163737,0.003276817,-0.02220611,-0.049455798,-0.078609954,-0.109769142,-0.142993263,-0.178298669,-0.215655988,-0.254988685,-0.296172409,-0.339035148,-0.383358196,-0.428877935,-0.475288415,-0.5222447,-0.569366945,-0.616245147,-0.662444506,-0.707511315,-0.750979313,-0.792376381,-0.831231509,-0.867081912,-0.899480191,-0.928001438,-0.952250159,-0.971866924,-0.98653462,-0.995984227,-1,-0.99842399,-0.991159817,-0.978175626,-0.959506181,-0.935254043,-0.90558981,-0.870751404,-0.831042391,-0.786829372,-0.738538442,-0.686650781,-0.631697416,-0.574253236,-0.514930318,-0.454370668,-0.393238477,-0.332211978,-0.271975039,-0.213208597,-0.156582049,-0.102744729,-0.052317592,-0.005885207,0.036011805,0.072883802,0.104298501,0.129886635,0.149346791,0.162449371,0.16903961
9,0.986098503,0.95849126,0.917566924,0.863901412,0.798249534,0.721534041,0.634832242,0.539360392,0.436456084,0.327558915,0.214189701,0.097928569,-0.019607773,-0.13678922,-0.251995588,-0.363639713,-0.470189983,-0.570191981,-0.662288921,-0.745240567,-0.817940375,-0.879430601,-0.928915163,-0.965770077,-0.989551317,-1,-0.997044833,-0.980801793,-0.95157107,-0.909831317,-0.856231332,-0.791579291,-0.716829717,-0.633068397,-0.54149548,-0.44340703,-0.340175317,-0.233228147,-0.124027569,-0.014048259,0.095244069,0.202413904,0.306076519,0.404917576,0.497711461,0.583338093,0.660797956,0.729225137,0.78789819,0.836248686,0.873867325,0.90050755,0.916086627,0.920684197,0.914538353,0.898039317,0.871720848,0.836249542,0.792412203,0.741101503,0.683300192,0.620064098,0.552504222,0.481768203,0.409021473,0.335428386,0.262133651,0.190244333,0.120812735,0.05482041,-0.006836438,-0.063359949,-0.114061795,-0.158372397,-0.195848042,-0.226175803,-0.249176195,-0.26480355,-0.273144127,-0.274412002,-0.268942832,-0.257185608,-0.239692567,-0.217107424,-0.190152158,-0.159612579,-0.126322915,-0.091149716,-0.054975324,-0.018681223,0.016868477,0.050843106,0.082460804,0.11100291,0.135827152,0.156379381,0.172203681,0.182950665,0.188383826
