id,name,group,color,x,y
2-guns,2 guns,group1,"28,217,44,0.800000",3.96829843521,1.56662940979
all-eyez-on-me,all eyez on me,group1,"28,217,44,0.800000",3.912535429,1.92615795135
as-i-lay-dying,as i lay dying,group3,"37,171,226,0.800000",11.6540193558,-3.7485499382
barb-wire,barb wire,group1,"28,217,44,0.800000",1.85377287865,-2.30996179581
barbecue,barbecue,group0,"255,31,31,0.800000",3.73809099197,-1.57286643982
battlefield-earth,battlefield earth,group3,"37,171,226,0.800000",10.2332601547,-3.12142920494
brainstorm,brainstorm,group2,"28,217,44,0.800000",10.575261116,-0.486421853304
bubba-ho-tep,bubba ho tep,group0,"255,31,31,0.800000",4.00104045868,-0.837430298328
bubble-boy,bubble boy,group1,"28,217,44,0.800000",5.21194696426,3.06571269035
catch-and-release,catch and release,group1,"28,217,44,0.800000",0.325338125229,0.710970699787
catch-that-kid,catch that kid,group2,"28,217,44,0.800000",7.61993455887,2.42726707458
cocaine-cowboys,cocaine cowboys,group1,"28,217,44,0.800000",0.9351760149,1.42652904987
crazy-on-the-outside,crazy on the outside,group0,"255,31,31,0.800000",4.19087028503,-5.64590167999
deconstructing-harry,deconstructing harry,group2,"28,217,44,0.800000",6.68761110306,0.566976249218
diana,diana,group3,"37,171,226,0.800000",9.2402973175,-7.22306966782
enchanted,enchanted,group0,"255,31,31,0.800000",3.66208338737,-5.62254285812
encounters-at-the-end-of-the-world,encounters at the end of the world,group3,"37,171,226,0.800000",10.1579017639,-7.85841846466
enemy-mine,enemy mine,group3,"37,171,226,0.800000",8.68110179901,-5.76280879974
escape-to-witch-mountain,escape to witch mountain,group2,"28,217,44,0.800000",5.93766403198,1.64235711098
fallen,fallen,group2,"28,217,44,0.800000",9.15060424805,-1.36207270622
freedom,freedom,group3,"37,171,226,0.800000",8.35646820068,-6.96850204468
ghost-team,ghost team,group2,"28,217,44,0.800000",9.53046417236,1.19900524616
green-card,green card,group2,"28,217,44,0.800000",10.8243894577,-2.20900797844
green-zone,green zone,group3,"37,171,226,0.800000",11.0488433838,-4.06871747971
hateship-loveship,hateship loveship,group2,"28,217,44,0.800000",6.5240278244,2.87635993958
hell-or-high-water,hell or high water,group0,"255,31,31,0.800000",2.02032518387,-4.52715063095
henry-poole-is-here,henry poole is here,group1,"28,217,44,0.800000",5.37255001068,-5.37687969208
hotel-transylvania-2,hotel transylvania 2,group0,"255,31,31,0.800000",3.39586830139,-3.44676160812
i-saw-the-devil,i saw the devil,group3,"37,171,226,0.800000",11.3194980621,-3.5318813324
icarus,icarus,group0,"255,31,31,0.800000",4.57694244385,-0.563406944275
immigration-tango,immigration tango,group0,"255,31,31,0.800000",6.3529009819,-3.97644639015
impulse,impulse,group2,"28,217,44,0.800000",6.79343366623,3.50338697433
in-dreams,in dreams,group2,"28,217,44,0.800000",8.64210796356,3.71716356277
kiss-the-bride,kiss the bride,group1,"28,217,44,0.800000",0.0927847400308,-1.74215900898
lbj,lbj,group3,"37,171,226,0.800000",11.2409172058,-5.30946731567
legendary,legendary,group0,"255,31,31,0.800000",5.23601865768,-3.03375792503
life-of-a-king,life of a king,group1,"28,217,44,0.800000",1.14970707893,-1.64723980427
lions-for-lambs,lions for lambs,group3,"37,171,226,0.800000",3.9973154068,-6.37691259384
loaded,loaded,group1,"28,217,44,0.800000",2.44678354263,0.927230417728
my-cousin-rachel,my cousin rachel,group3,"37,171,226,0.800000",9.56992530823,-8.21997261047
north,north,group2,"28,217,44,0.800000",10.015381813,0.438941985369
oasis,oasis,group0,"255,31,31,0.800000",6.04363250732,-3.02644491196
outside-in,outside in,group0,"255,31,31,0.800000",5.33432245255,-1.63386404514
